home_id,home_link,kamers,prijs,wonen
De Voortuinen (Bouwnr. 8.4),https://funda.nl/koop/verkocht/amsterdam/appartement-40100215-de-voortuinen-bouwnr-84/,2 kamers,€ 365.000 v.o.n.,46 m²
De Voortuinen (Bouwnr. 8.5),https://funda.nl/koop/verkocht/amsterdam/appartement-40100217-de-voortuinen-bouwnr-85/,4 kamers,€ 549.500 v.o.n.,72 m²
Badhuiskade (Bouwnr. 111),https://funda.nl/koop/amsterdam/appartement-40076370-badhuiskade-bouwnr-111/,3 kamers,€ 567.763 v.o.n.,106 m²
Badhuiskade (Bouwnr. 055),https://funda.nl/koop/verkocht/amsterdam/appartement-40458557-badhuiskade-bouwnr-055/,3 kamers,€ 592.763 v.o.n.,106 m²
Badhuiskade (Bouwnr. 063),https://funda.nl/koop/verkocht/amsterdam/appartement-49305533-badhuiskade-bouwnr-063/,3 kamers,€ 587.763 v.o.n.,106 m²
Badhuiskade (Bouwnr. 079),https://funda.nl/koop/verkocht/amsterdam/appartement-40458558-badhuiskade-bouwnr-079/,3 kamers,€ 577.763 v.o.n.,106 m²
Badhuiskade (Bouwnr. 157),https://funda.nl/koop/amsterdam/appartement-40401937-badhuiskade-bouwnr-157/,1 kamer,€ 337.402 v.o.n.,49 m²
Badhuiskade (Bouwnr. 144),https://funda.nl/koop/verkocht/amsterdam/appartement-49308033-badhuiskade-bouwnr-144/,1 kamer,€ 389.416 v.o.n.,50 m²
Badhuiskade (Bouwnr. 145),https://funda.nl/koop/verkocht/amsterdam/appartement-49311506-badhuiskade-bouwnr-145/,1 kamer,€ 385.416 v.o.n.,50 m²
Badhuiskade (Bouwnr. 146),https://funda.nl/koop/verkocht/amsterdam/appartement-49305535-badhuiskade-bouwnr-146/,1 kamer,€ 381.416 v.o.n.,50 m²
Badhuiskade (Bouwnr. 147),https://funda.nl/koop/verkocht/amsterdam/appartement-40457385-badhuiskade-bouwnr-147/,1 kamer,€ 377.402 v.o.n.,49 m²
Badhuiskade (Bouwnr. 148),https://funda.nl/koop/verkocht/amsterdam/appartement-49300147-badhuiskade-bouwnr-148/,1 kamer,€ 373.416 v.o.n.,50 m²
Badhuiskade (Bouwnr. 150),https://funda.nl/koop/verkocht/amsterdam/appartement-40401934-badhuiskade-bouwnr-150/,1 kamer,€ 365.402 v.o.n.,50 m²
Badhuiskade (Bouwnr. 152),https://funda.nl/koop/verkocht/amsterdam/appartement-40401935-badhuiskade-bouwnr-152/,1 kamer,€ 357.402 v.o.n.,50 m²
Badhuiskade (Bouwnr. 153),https://funda.nl/koop/verkocht/amsterdam/appartement-40457386-badhuiskade-bouwnr-153/,1 kamer,€ 353.402 v.o.n.,49 m²
Badhuiskade (Bouwnr. 155),https://funda.nl/koop/verkocht/amsterdam/appartement-40401936-badhuiskade-bouwnr-155/,1 kamer,€ 345.402 v.o.n.,49 m²
Badhuiskade (Bouwnr. 156),https://funda.nl/koop/verkocht/amsterdam/appartement-49300148-badhuiskade-bouwnr-156/,1 kamer,€ 341.416 v.o.n.,50 m²
Badhuiskade (Bouwnr. 158),https://funda.nl/koop/verkocht/amsterdam/appartement-49305538-badhuiskade-bouwnr-158/,1 kamer,€ 333.416 v.o.n.,49 m²
Badhuiskade 37,https://funda.nl/koop/verkocht/amsterdam/appartement-49305522-badhuiskade-37/,3 kamers,€ 553.779 v.o.n.,104 m²
Badhuiskade 51,https://funda.nl/koop/verkocht/amsterdam/appartement-49305521-badhuiskade-51/,3 kamers,€ 564.889 v.o.n.,104 m²
Badhuiskade (Bouwnr. 143),https://funda.nl/koop/verkocht/amsterdam/appartement-49305531-badhuiskade-bouwnr-143/,2 kamers,€ 513.921 v.o.n.,104 m²
Badhuiskade (Bouwnr. 027),https://funda.nl/koop/verkocht/amsterdam/appartement-40489462-badhuiskade-bouwnr-027/,3 kamers,€ 635.957 v.o.n.,110 m²
Badhuiskade (Bouwnr. 033),https://funda.nl/koop/verkocht/amsterdam/appartement-40458514-badhuiskade-bouwnr-033/,3 kamers,€ 606.763 v.o.n.,106 m²
Badhuiskade (Bouwnr. 034),https://funda.nl/koop/verkocht/amsterdam/appartement-40458555-badhuiskade-bouwnr-034/,3 kamers,€ 630.957 v.o.n.,110 m²
